 Probabilistic association learning of target-opinion pair and the debate topic was used by CITATION as an integer linear programming problem to classify posts stance,,
 There has also been a lot of work done in social media on target directed sentiment analysis (CITATION; CITATION; CITATION) which we incorporate for capturing users intentions,,
 2 Related Work To classify posts stance in dual-sided debates, previous approaches have used probabilistic CITATION as well as machine learning techniques (CITATION; CITATION),,
 Some approaches extensively used the dialogue structure to identify posts stance CITATION whereas others considered opinion expressions and their targets essential to capture sentiment in the posts towards debate topics (CITATION; CITATION),,
 Pure machine learning approaches CITATION have extracted lexical and contextual features of debate posts to classify their stance,,
 CITATION partitioned the debate posts based on the dialogue structure of the debate and assigned stance to a partitio,,
 In topic directed sentiment analysis, the sentiment score is calculated using dependency parses of utterances and the sentiment lexicon sentiWordNet CITATION,,
 It stores positive and negative sentiment scores for every sense of the word present in the wordNet CITATION,,
 First, pronoun referencing is resolved using the Stanford co-reference resolution system CITATION,,
 In topic directed sentiment analysis, the sentiment score is calculated using dependency parses of utterances and the sentiment lexicon sentiWordNet CITATION,,
 It stores positive and negative sentiment scores for every sense of the word present in the wordNet CITATION,,
 First, pronoun referencing is resolved using the Stanford co-reference resolution system CITATION,,
 To extract the extended targets, we capture named entities (NE) from the Wikipedia page of the debate topic (fetched using jsoup java library) using the Stanford Named Entity Recognizer CITATION and sort them based on their page occurrence count,,
 Discourse markers cues were used by Sood (2013) to prioritize the conversational sentences and by CITATION to identify users intentions in help desk emails,,
 CITATION devised a help desk specific tagging schema to capture the queries and build email structure in help desk emails,,
 CITATION used verbal response modes to understand the client/therapist conversations,,
 In topic directed sentiment analysis, the sentiment score is calculated using dependency parses of utterances and the sentiment lexicon sentiWordNet CITATION,,
 It stores positive and negative sentiment scores for every sense of the word present in the wordNet CITATION,,
 First, pronoun referencing is resolved using the Stanford co-reference resolution system CITATION,,
abilistic association learning of target-opinion pair and the debate topic was used by CITATION as an integer linear programming problem to classify posts stance,,
 There has also been a lot of work done in social media on target directed sentiment analysis (CITATION; CITATION; CITATION) which we incorporate for capturing users intentions,,
 Unigram systems are proved reliable in sentiment analysis (CITATION; CITATION),,
 Probabilistic association learning of target-opinion pair and the debate topic was used by CITATION as an integer linear programming problem to classify posts stance,,
 There has also been a lot of work done in social media on target directed sentiment analysis (CITATION; CITATION; CITATION) which we incorporate for capturing users intentions,,
 Unigram systems are proved reliable in sentiment analysis (CITATION; CITATION),,
 We can also conclude that the Unigram system achieves higher accuracies than the lexFeatures system, showing that what the user says is a better indicator of users intentions than his sentiments and thus confirming previous research results (CITATION; CITATION),,
 smallest discourse units, based on sentence ending markers and a few specific Penn Discourse Tree Bank (PDTB) CITATION discourse markers listed in Table 2,,
 It is easy to observe that personal opinions are important in ideological stance taking CITATION,,
 2 Related Work To classify posts stance in dual-sided debates, previous approaches have used probabilistic CITATION as well as machine learning techniques (CITATION; CITATION),,
 Some approaches extensively used the dialogue structure to identify posts stance CITATION whereas others considered opinion expressions and their targets essential to capture sentiment in the posts towards debate topics (CITATION; CITATION),,
 Pure machine learning approaches CITATION have extracted lexical and contextual features of debate posts to classify their stance,,
 CITATION partitioned the debate posts based on the dialogu,,
 2 Related Work To classify posts stance in dual-sided debates, previous approaches have used probabilistic CITATION as well as machine learning techniques (CITATION; CITATION),,
 Some approaches extensively used the dialogue structure to identify posts stance CITATION whereas others considered opinion expressions and their targets essential to capture sentiment in the posts towards debate topics (CITATION; CITATION),,
 Pure machine learning approaches CITATION have extracted lexical and contextual features of debate posts to classify their stance,,
 CITATION partitioned the debate posts based on the dialogue structure of the debate and assigned stance to a partition using lexical features of can,,
 To extract opinion expressions, Somasundaran and Wiebe (2009) used the Subjectivity lexicon and CITATION used the MPQA opinion corpus CITATION,,
 Somasundaran and Wiebe (2009) attached opinion expressions to all plausible sentence words whereas CITATION attached opinion expressions to the debate topic closest to them,,
 Probabilistic association learning of target-opinion pair and the debate topic was used by CITATION as an integer linear programming problem to classify posts stance,,
 There has also been a lot of work done in social media on target directed sentiment analysis (CITATION; CITATION; CITATION) which we incorporate for capturing users intentions,,
 We can also conclude that the Unigram system achieves higher accuracies than the lexFeatures system, showing that what the user says is a better indicator of users intentions than his sentiments and thus confirming previous research results (CITATION; CITATION),,
 We also compared our approach with the (Arg+Sent) method proposed by CITATION,,
 2 Related Work To classify posts stance in dual-sided debates, previous approaches have used probabilistic CITATION as well as machine learning techniques (CITATION; CITATION),,
 Some approaches extensively used the dialogue structure to identify posts stance CITATION whereas others considered opinion expressions and their targets essential to capture sentiment in the posts towards debate topics (CITATION; CITATION),,
 Pure machine learning approaches CITATION have extracted lexical and contextual features of debate posts to classify their stance,,
 CITATION partitioned the debate posts based on the dialogue structure of the debate and assigned stance to a partition using lexical features of candidate posts,,
 CITATION uses the same intuition to split the debate posts in two partitions using a max-cut algorithm,,
 CITATION partitioned the debate posts based on the dialogue structure of the debate and assigned stance to a partition using lexical features of candidate posts,,
 To extract opinion expressions, Somasundaran and Wiebe (2009) used the Subjectivity lexicon and CITATION used the MPQA opinion corpus CITATION,,
 Somasundaran and Wiebe (2009) attached opinion expressions to all plausible sentence words whereas CITATION attached opinion expressions to the debate topic closest to them,,
 Probabilistic association learning of target-opinion pair and the debate topic was used by CITATION as an integer linear programming problem to classify posts stance,,
 Discourse markers cues were used by Sood (2013) to prioritize the conversational sentences and by CITATION to identify users intentions in help desk emails,,
 CITATION devised a help desk specific tagging schema to capture the queries and build email structure in help desk emails,,
 CITATION used verbal response modes to understand the client/therapist conversations,,
